P5_freq_peak_value,P7_time_line_integral,P7_time_min,P7_freq_sum_power_spectrum,P2_freq_peak_value,P5_freq_peak_freq,P4_freq_peak_value,P5_time_min,P3_freq_sum_power_spectrum,P2_freq_sum_power_spectrum,P1_freq_peak_value,P2_freq_peak_freq,P6_freq_sum_power_spectrum,P2_time_min,P3_freq_std_power_spectrum,P2_freq_std_power_spectrum,P5_freq_sum_power_spectrum,P3_freq_peak_freq,P2_time_median,P6_freq_peak_value,P1_time_min,P4_freq_std_power_spectrum,P1_freq_sum_power_spectrum,P4_freq_sum_power_spectrum,P3_freq_peak_value,P7_freq_peak_freq,P3_time_min,P7_freq_peak_value,P1_freq_peak_freq,anomaly_location
26650.158594732362,2360.600632396853,-0.0118175672877308,277751.7161486197,22740.151977737394,64.94587843463779,30697.468708445493,0.0005626731422441,214009.99706783038,147596.87567606685,10000.24305350429,64.94587843463779,264140.92228055914,0.2839823352804828,1749.5784442601862,1452.4853123041971,142714.8916383945,64.94587843463779,1.9401769830149684,34552.382343177334,0.716829400245861,1990.876729237524,62377.90502301757,243604.79079377247,27063.77583961511,64.94587843463779,-0.0022345375411694,36020.55030026191,64.94587843463779,1
28393.35041437442,2361.2868962401844,0.0005990046323999,226086.94631361542,23956.453644123216,64.94587843463779,31959.671511356853,0.0005626731422441,177254.11232797426,137404.31491492156,10802.63696794401,64.94587843463779,222070.08255671037,0.2741474183919526,1784.3547724974158,1488.51885592892,151879.96935085303,64.94587843463779,1.930620516593536,36218.34569604188,0.598692209299771,1947.447556862387,68283.00258667168,198781.726241569,28611.180559478216,64.94587843463779,-0.0030667655084193,39642.57706160685,64.94587843463779,1
26650.158594732362,2360.600632396853,-0.0118175672877308,277751.7161486197,22740.151977737394,64.94587843463779,30697.468708445493,0.0005626731422441,214009.99706783038,147596.87567606685,10000.24305350429,64.94587843463779,264140.92228055914,0.2839823352804828,1749.5784442601862,1452.4853123041971,142714.8916383945,64.94587843463779,1.9401769830149684,34552.382343177334,0.716829400245861,1990.876729237524,62377.90502301757,243604.79079377247,27063.77583961511,64.94587843463779,-0.0022345375411694,36020.55030026191,64.94587843463779,1
27781.764317574714,2366.2576825410665,-0.0046423989453285,225310.67164225655,30037.99110509376,62.44796003330558,36608.13447469993,0.0070173064690796,216132.42712206615,153729.50407279344,10894.675884050183,62.44796003330558,244531.2003342007,0.6309002033276097,1936.4862021013987,1673.1337357054545,138359.10274434608,62.44796003330558,1.9190767527589427,35071.314716039,0.558149742064054,2267.2906513674766,61156.30097694454,260331.75646418112,33987.09423447383,62.44796003330558,0.0258153493067645,34237.601188130844,62.44796003330558,2
27500.006767226285,2366.2051038691347,-0.0036373509697125,217794.81125406106,29519.582443076637,62.44796003330558,34667.506912425764,0.0206003362844602,190319.43320257336,147631.91481670894,10735.216150052234,62.44796003330558,213988.9095088918,0.5629161644321774,1878.188462757657,1636.5842621121558,147313.77008091527,62.44796003330558,1.9199673485251407,34191.25264797167,0.5617540774192502,2162.9565448973585,65146.35796858579,238159.90161725803,33080.23201219728,62.44796003330558,0.2154991470328836,34566.75215426577,62.44796003330558,2
27781.764317574714,2366.2576825410665,-0.0046423989453285,225310.67164225655,30037.99110509376,62.44796003330558,36608.13447469993,0.0070173064690796,216132.42712206615,153729.50407279344,10894.675884050183,62.44796003330558,244531.2003342007,0.6309002033276097,1936.4862021013987,1673.1337357054545,138359.10274434608,62.44796003330558,1.9190767527589427,35071.314716039,0.558149742064054,2267.2906513674766,61156.30097694454,260331.75646418112,33987.09423447383,62.44796003330558,0.0258153493067645,34237.601188130844,62.44796003330558,2
23990.533808257864,2366.6511141687115,-0.0038906312215696,223480.2465587477,26250.693574266257,59.95004163197335,36974.251471630116,0.0196753685387372,218059.2659948561,151999.11699119236,9182.002930293676,59.95004163197335,254308.07472410862,0.103320026166619,2436.1202135662256,1736.1214529239783,137545.77525832318,59.95004163197335,1.9247589172660573,30318.812636128434,0.4098655639224227,2430.510444523642,58907.78526030768,252515.89206871946,37842.98789673751,59.95004163197335,0.5703684928143372,29034.732111060388,59.95004163197335,3
20975.587187176745,2366.2387839105995,-0.0045558940771644,206899.25985560843,22405.240960782896,59.95004163197335,31317.0153169181,0.0196753685387372,216163.43239411822,140512.17903774892,7917.770581229506,59.95004163197335,203522.73750640271,0.103320026166619,2118.547498061015,1497.8131754866947,138937.16565853744,59.95004163197335,1.923975402019924,27103.21734376536,0.4098655639224227,2149.3461265707397,60905.470438926975,260115.57899954735,32309.20547113416,59.95004163197335,0.4880512223522754,26007.540065206584,59.95004163197335,3
23990.533808257864,2366.6511141687115,-0.0038906312215696,223480.2465587477,26250.693574266257,59.95004163197335,36974.251471630116,0.0196753685387372,218059.2659948561,151999.11699119236,9182.002930293676,59.95004163197335,254308.07472410862,0.103320026166619,2436.1202135662256,1736.1214529239783,137545.77525832318,59.95004163197335,1.9247589172660573,30318.812636128434,0.4098655639224227,2430.510444523642,58907.78526030768,252515.89206871946,37842.98789673751,59.95004163197335,0.5703684928143372,29034.732111060388,59.95004163197335,3
27739.10929269513,2361.961234621053,0.0004417503587927,221806.9242735481,32288.676207581437,59.95004163197335,55525.06902586874,-0.0002416584360794,237160.315947333,159769.19745238932,10790.870749346612,59.95004163197335,299152.84821751824,0.0559740380341251,2145.3866639200473,1745.6662170212571,131461.07129575784,59.95004163197335,1.9174737073062489,41154.98292794376,0.5432278773646374,2958.6535238415013,55821.82283025445,263153.42084141675,38076.5899666623,59.95004163197335,0.0003221660420935,35087.81271377638,59.95004163197335,4
